identifier,player,full_name,format,span_bat,mat_bat,inns_bat,no,runs_bat,hs,ave_bat,bf,sr_bat,100,50,ducks,4s,6s,span_bowl,mat_bowl,inns_bowl,balls,runs_bowl,wkts,bbi,ave_bowl,econ,sr_bowl,4,5,bbm,10,overs,mdns,total_contribution,ar_rating
bc190f65,GRJ Matthews,Grayson Matthews,Test,1983-1993,33,53,8,1849,130,41.08,0,0,4,12,2,0,0,1983-1993,33,47,6271,2942,61,5/103,48.22,2.81,102.8,0,2,10/249,1,0,0,3069,-7.14
ae78fb75,RW Barber,Roy Barber,Test,1960-1968,28,45,3,1495,185,35.59,0,0,1,9,1,0,0,1960-1968,28,42,3426,1806,42,4/132,43,3.16,81.5,0,0,6/139,0,0,0,2335,-7.41
221ad9d9,GP Swann,Graeme Swann,Test,2008-2013,60,76,14,1370,85,22.09,0,0,0,5,5,0,0,2008-2013,60,109,15349,7642,255,Jun-65,29.96,2.98,60.1,0,17,10/132,3,0,0,6470,-7.87
7c524708,R Illingworth,Ray Illingworth,Test,1958-1973,61,90,11,1836,113,23.24,0,0,2,5,7,0,0,1958-1973,61,100,11934,3807,122,Jun-29,31.2,1.91,97.8,0,3,Jul-29,0,0,0,4276,-7.96
bb18be76,SK Warne,Shane Warne,Test,1992-2007,145,199,17,3154,99,17.32,0,0,0,12,34,0,0,1992-2007,145,273,40705,17995,708,Aug-71,25.41,2.65,57.4,0,37,12/128,10,0,0,17314,-8.09
c58b0108,Mehidy Hasan Miraz,Mehidy Hasan Miraz,Test,2016-2025,56,100,10,2174,104,24.15,0,0,2,9,6,0,0,2016-2025,56,98,13164,6820,210,Jul-58,32.47,3.1,62.6,0,13,12/117,3,0,0,6374,-8.32
390ff45b,Abdul Razzaq,Abdul Razzaq,Test,1999-2006,46,77,9,1946,134,28.61,0,0,3,7,4,0,0,1999-2006,46,76,7008,3694,100,May-35,36.94,3.16,70,0,1,7/155,0,0,0,3946,-8.33
87e562a9,DJ Bravo,Dwayne Bravo,Test,2004-2010,40,71,1,2200,113,31.42,0,0,3,13,6,0,0,2004-2010,40,61,6466,3426,86,Jun-55,39.83,3.17,75.1,0,2,Jun-84,0,0,0,3920,-8.41
9af29168,CEL Ambrose,Curtly Ambrose,Test,1988-2000,98,145,29,1439,53,12.4,0,0,0,1,26,0,0,1988-2000,98,179,22103,8501,405,Aug-45,20.99,2.3,54.5,0,22,Nov-84,3,0,0,9539,-8.59
bb351c23,MM Ali,Moeen Ali,Test,2014-2023,68,118,8,3094,155*,28.12,0,0,5,15,15,0,0,2014-2023,68,119,12610,7612,204,Jun-53,37.31,3.62,61.8,0,5,10/112,1,0,0,7174,-9.19
eba6a852,SCJ Broad,Stuart Broad,Test,2007-2023,167,244,41,3662,169,18.03,0,0,1,13,39,0,0,2007-2023,167,309,33698,16719,604,Aug-15,27.68,2.97,55.7,0,20,11/121,3,0,0,15742,-9.65
0bcd7167,FJ Titmus,Fred Titmus,Test,1955-1975,53,76,11,1449,84*,22.29,0,0,0,10,4,0,0,1955-1975,53,90,15118,4931,153,Jul-79,32.22,1.95,98.8,0,7,9/162,0,0,0,4509,-9.93
dd09ff8e,B Lee,Brett Lee,Test,1999-2008,76,90,18,1451,64,20.15,0,0,0,5,14,0,0,1999-2008,76,150,16531,9554,310,May-30,30.81,3.46,53.3,0,10,9/171,0,0,0,7651,-10.66
